gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,4.5299,sol2,0.0,0.2,205.74
gfx950,256,2,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,4.7029,sol2,0.0,0.39,201.24
gfx950,256,4,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,5.139,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0195,0.71,189.8
gfx950,256,8,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,16,5.3178,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0352,1.38,194.29
gfx950,256,16,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,16,5.2526,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0273,2.79,218.74
gfx950,256,32,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,5.4922,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0312,5.35,251.33
gfx950,256,48,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,16,5.1796,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0283,8.5,311.18
gfx950,256,64,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,14,5.4629,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0303,10.75,337.4
gfx950,256,80,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,14,5.7831,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0285,12.69,358.74
gfx950,256,96,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,16,5.8807,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0298,14.98,392.14
