gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,5.388,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0469,0.29,294.25
gfx950,256,2,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,5.4358,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0273,0.58,293.97
gfx950,256,4,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,5.433,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0293,1.16,298.74
gfx950,256,8,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,5.4742,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0322,2.3,305.65
gfx950,256,16,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,6.0986,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0288,4.13,290.82
gfx950,256,32,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,6.0842,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0237,8.27,324.49
gfx950,256,48,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,16,5.9414,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.028,12.71,366.07
gfx950,256,64,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,16,6.8395,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0316,14.72,347.35
gfx950,256,128,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,16,7.8346,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0308,25.7,405.7
gfx950,256,256,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,12,9.9652,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0276,40.41,480.08
gfx950,256,16384,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,54.6672,native,0.0,471.39,3788.26
gfx950,256,1,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,12,7.3627,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0391,0.43,428.99
gfx950,256,2,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,13,7.5667,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0273,0.83,419.12
gfx950,256,4,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,13,7.2016,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0254,1.75,443.92
gfx950,256,8,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,7.3839,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0303,3.41,439.89
gfx950,256,16,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,7.7579,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0291,6.49,431.89
gfx950,256,32,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,13,7.6427,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0272,13.17,465.19
gfx950,256,48,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,13,7.7081,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0267,19.59,487.82
gfx950,256,64,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,15,8.0088,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0294,25.14,495.07
gfx950,256,128,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,12,10.0663,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0257,40.0,475.26
gfx950,256,256,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,8,12.1464,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0203,66.3,528.76
gfx950,256,16384,256,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,84.6261,native,0.0,609.03,2515.31
gfx950,256,1,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,6,13.0838,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0149,2.46,2465.74
gfx950,256,2,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,13,6,9.2224,flydsl_gemm2_abf16_wbf16_bf16_t16x64x256_split_k6_block_m_warp1_block_n_warp2_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0137,6.99,3500.04
gfx950,256,4,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,6,13.1327,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0167,9.82,2460.56
gfx950,256,8,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,13,6,9.6013,flydsl_gemm2_abf16_wbf16_bf16_t16x64x256_split_k6_block_m_warp1_block_n_warp2_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0181,26.87,3372.88
gfx950,256,16,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,89,6,9.4796,flydsl_gemm2_abf16_wbf16_bf16_t32x64x256_split_k6_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0179,54.42,3430.98
gfx950,256,32,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,6,13.5452,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0176,76.17,2421.88
gfx950,256,48,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,6,14.2686,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0176,108.47,2318.76
gfx950,256,64,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,6,14.6224,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0175,141.13,2281.84
gfx950,256,128,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,3,18.7174,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0101,220.5,1842.58
gfx950,256,256,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,2,25.7364,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0057,320.73,1427.28
gfx950,256,16384,2624,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,398.0713,native,0.0,1327.1,802.75
gfx950,256,1,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,4,9.3424,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.009,1.8,1797.13
gfx950,256,2,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,4,9.0829,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0078,3.69,1849.83
gfx950,256,4,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,4,9.3991,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0079,7.14,1790.21
gfx950,256,8,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,4,9.2796,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0091,14.46,1818.56
