gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,8,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,40,7,8.3661,flydsl_gemm2_abf16_wbf16_bf16_t16x64x256_split_k7_block_m_warp1_block_n_warp2_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0186,5.26,672.46
gfx950,256,16,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,40,7,8.4205,flydsl_gemm2_abf16_wbf16_bf16_t16x64x256_split_k7_block_m_warp1_block_n_warp2_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0203,10.46,682.46
gfx950,256,24,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,40,7,8.7459,flydsl_gemm2_abf16_wbf16_bf16_t16x64x256_split_k7_block_m_warp1_block_n_warp2_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0201,15.11,670.89
gfx950,256,32,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,40,7,8.7835,flydsl_gemm2_abf16_wbf16_bf16_t16x64x256_split_k7_block_m_warp1_block_n_warp2_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0194,20.06,681.77
gfx950,256,40,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,160,7,9.1555,flydsl_gemm2_abf16_wbf16_bf16_t32x64x256_split_k7_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0199,24.05,667.27
gfx950,256,48,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,40,7,9.3139,flydsl_gemm2_abf16_wbf16_bf16_t16x64x256_split_k7_block_m_warp1_block_n_warp2_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0206,28.37,668.89
gfx950,256,56,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,14,9.3551,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0279,32.95,678.86
gfx950,256,64,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,280,7,9.783,flydsl_gemm2_abf16_wbf16_bf16_t32x64x256_split_k7_block_m_warp1_block_n_warp2_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0191,36.01,661.52
gfx950,256,72,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,164,7,9.5527,flydsl_gemm2_abf16_wbf16_bf16_t16x64x256_split_k7_block_m_warp1_block_n_warp2_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0199,41.49,690.12
gfx950,256,80,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,164,7,9.5432,flydsl_gemm2_abf16_wbf16_bf16_t16x64x256_split_k7_block_m_warp1_block_n_warp2_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0208,46.15,703.47
