cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag
256,1024,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,123.0893,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w2_gui_fp8,0.0%,105.2591,flydsl_moe2_afp8_wfp4_bf16_t32x256x256_atomic_bnt2,0.0%,228.3484,0,394.99,9353.91,
256,2048,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,133.8259,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_w3_gui_fp8,0.0%,156.8906,flydsl_moe2_afp8_wfp4_bf16_t64x256x256_reduce_bnt2_persist,0.0%,290.7165,0,620.5,7422.93,
256,4096,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,168.2474,flydsl_moe1_afp8_wfp4_bf16_t128x256x256_gui_fp8,0.0%,292.1704,flydsl_moe2_afp8_wfp4_bf16_t128x256x256_reduce_persist,0.0%,460.4178,0,783.59,4782.63,
256,8192,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,302.4767,flydsl_moe1_afp8_wfp4_bf16_t128x256x256_bnt0_gui_fp8,0.0%,514.8898,flydsl_moe2_afp8_wfp4_bf16_t64x256x256_reduce_persist_sbm128,0.0%,817.3665,0,882.78,2801.79,
256,16384,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,481.7208,flydsl_moe1_afp8_wfp4_bf16_t128x256x256_bnt0_gui_fp8,0.0%,1006.5923,flydsl_moe2_afp8_wfp4_bf16_t128x256x256_reduce_bnt2,0.0%,1488.3131,0,969.63,1657.08,
256,32768,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,876.5187,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_bnt0_gui_xcd4_fp8,0.0%,1845.739,flydsl_moe2_afp8_wfp4_bf16_t64x256x256_reduce_xcd4,0.0%,2722.2577,0,1060.23,1035.38,
256,1024,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,236.2331,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,0.0%,151.5334,flydsl_moe2_afp8_wfp4_bf16_t32x256x256_atomic_bnt2,0.0%,387.7665,0,465.2,10959.89,
256,2048,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,250.8169,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_gui_fp8,0.0%,208.9952,flydsl_moe2_afp8_wfp4_bf16_t64x256x256_atomic_bnt2_persist,0.0%,459.8121,0,784.62,9290.53,
256,4096,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,321.0343,flydsl_moe1_afp8_wfp4_bf16_t128x256x256_gui_fp8,0.0%,385.9324,flydsl_moe2_afp8_wfp4_bf16_t64x256x256_reduce_persist_sbm128,0.0%,706.9667,0,1020.63,6104.87,
256,8192,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,563.8091000000001,flydsl_moe1_afp8_wfp4_bf16_t64x256x256_w3_bnt0_gui,0.0%,594.2764,flydsl_moe2_afp8_wfp4_bf16_t64x256x256_reduce,0.0%,1158.0855,0,1246.12,3802.84,
