cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag
256,1,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,18.1998,flydsl_moe1_abf16_wint4_bf16_t16x64x128_kb7,0.1%,17.6718,flydsl_moe2_abf16_wint4_bf16_t16x128x128_atomic,2.3%,35.8716,0,4.91,58931.24,
256,8192,7168,512,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,64,0,1803.3461,flydsl_moe1_abf16_wint4_bf16_t64x64x128_kb2,0.0%,1161.5904,flydsl_moe2_abf16_wint4_bf16_t64x128x128_atomic,2.9%,2964.9365,0,486.73,792.2,
256,8192,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,64,0,955.2552,flydsl_moe1_abf16_wint4_bf16_t64x64x128_kb2,0.0%,847.7023,flydsl_moe2_abf16_wint4_bf16_t64x128x128_atomic,1.4%,1802.9575,0,400.21,716.51,
256,1,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,13.6077,flydsl_moe1_abf16_wint4_bf16_t16x64x128_kb14,0.2%,12.3464,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,1.6%,25.9541,0,3.39,40725.48,
256,2,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,18.112,flydsl_moe1_abf16_wint4_bf16_t16x64x128_kb14,0.2%,16.2344,flydsl_moe2_abf16_wint4_bf16_t16x128x128_atomic,1.4%,34.3464,0,5.13,30775.33,
256,4,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,26.7119,flydsl_moe1_abf16_wint4_bf16_t16x64x128_kb4,0.0%,21.1705,flydsl_moe2_abf16_wint4_bf16_t16x128x128_atomic,1.5%,47.8824,0,7.36,22076.57,
256,8,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,40.3359,flydsl_moe1_abf16_wint4_bf16_t16x64x128_kb7,0.1%,28.3012,flydsl_moe2_abf16_wint4_bf16_t16x128x128_atomic,1.4%,68.6371,0,10.27,15402.66,
256,16,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,64.3067,flydsl_moe1_abf16_wint4_bf16_t16x64x128_kb4,0.0%,41.0081,flydsl_moe2_abf16_wint4_bf16_t16x128x128_atomic,1.4%,105.3148,0,13.38,10040.6,
256,32,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,102.8779,flydsl_moe1_abf16_wint4_bf16_t16x64x128_kb4,0.0%,59.9495,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,1.4%,162.8274,0,17.31,6496.95,
256,64,7168,256,384,8,ActivationType.Silu,torch.bfloat16,torch.bfloat16,torch.int4,QuantType.per_1x32,1,0,16,0,143.2489,flydsl_moe1_abf16_wint4_bf16_t16x64x128_kb4,0.0%,82.4777,flydsl_moe2_abf16_wint4_bf16_t16x128x256_atomic,1.3%,225.7266,0,24.97,4690.63,
